No,Run-up speed,Impulse Stride Contact Time,CoM Displacement,Impulse Stride Length,BFC Contact Time,Height %,Delivery Stride Length,Trunk Flexion,FFC Knee Flexion,FFC Contact Time,Arm Speed at Release,Ball Speed
1,25 Kmph, 142 ms,7 cm,162 cm, 217 ms,87,127 cm,41 deg,3 deg,467 ms,263 rpm,127 Kmph
2,29 Kmph,154 ms,28 cm,256 cm,154 ms,87,125 cm,33 deg,34 deg,354 ms,305 rpm,131 Kmph
3,28 Kmph,142 ms,7 cm,228 cm,162 ms,85,129 cm ,47 deg,-4 deg,317 ms,335 rpm,138 Kmph
4,22 Kmph,175 ms,27 cm,167 cm,267 ms,90,109 cm,32 deg,8 deg,470 ms,245 rpm,94 Kmph
5,28 Kmph,146 ms,8 cm,143 cm,233 ms,84,146 cm,40 deg,-14 deg,362 ms,285 rpm,133 Kmph
6,29 Kmph,196 ms,16 cm,232 cm,242 ms,85,148 cm,31 deg,41 deg,396 ms,266 rpm,127 Kmph
7,28 Kmph,142 ms,31 cm,299 cm,162 ms,87,128 cm,37 deg,27 deg,246 ms,290 rpm,130 Kmph
8,30 Kmph,121 ms,13 cm,149 cm,192 ms,83,135 cm,47 deg,35 deg,292 ms,324 rpm,119 Kmph
9,27 Kmph,150 ms,15 cm,229 cm,225 ms,86,127 cm,51 deg,9 deg,380 ms,304 rpm,126 Kmph
10,26 Kmph,180 ms,15 cm,190 cm,300 ms,83,131 cm,43 deg,24 deg,512 ms,283 rpm,118 Kmph
11,30 Kmph,162 ms,21 cm,269 cm,225 ms,85,139 cm,44 deg,-1 deg,417 ms,275 rpm,139 Kmph
12,24 Kmph,179 ms,13 cm,170 cm,200 ms,83,145 cm,33 deg,38 deg,362 ms,262 rpm,100 Kmph
13,22 Kmph,212 ms,14 cm,160 cm,200 ms,90,105 cm,28 deg,24 deg,342 ms,220 rpm,89 Kmph
14,20 Kmph,242 ms,19 cm,160 cm,317 ms,92,102 cm,37 deg,-10 deg,580 ms,249 rpm,96 Kmph
15,23 Kmph,196 ms,8 cm,113 cm,325 ms,89,130 cm,39 deg,14 deg,462 ms,267 rpm,120 Kmph
16,31 Kmph,185 ms,13 cm,254 cm,225 ms,86,138 cm,31 deg,11 deg,458 ms,290 rpm,142 Kmph
17,24 Kmph,150 ms,11 cm,122 cm,212 ms,84,105 cm,34 deg,-2 deg,325 ms,250 rpm,96 Kmph
18,23 Kmph,150 ms,12 cm,145 cm,246 ms,84,124 cm,49 deg,-5 deg,512 ms,323 rpm,122 Kmph
19,19 Kmph,220 ms,23 cm,175 cm,340 ms,90,108 cm,14 deg,33 deg,325 ms,228 rpm,87 Kmph
20,22 Kmph,192 ms,26 cm,260 cm,242 ms,89,121 cm,31 deg,19 deg,450 ms,262 rpm,119 Kmph
21,18 Kmph,179 ms,18 cm,152 cm,225 ms,78,111 cm,33 deg,31 deg,545 ms,252 rpm,94 Kmph
22,24 Kmph,154 ms,13 cm,217 cm,242 ms,77,128 cm,48 deg,2 deg,500 ms,232 rpm,94 Kmph
23,28 Kmph,179 ms,15 cm,160 cm,280 ms,88,143 cm,40 deg,19 deg,442 ms,232 rpm,120 Kmph
24,22 Kmph,154 ms,13 cm,176 cm,154 ms,81,113 cm,40 deg,27 deg,450 ms,250 rpm,102 Kmph
25,26 Kmph,187 ms,22 cm,209 cm,217 ms,88,135 cm,48 deg,12 deg,425 ms,214 rpm,106 Kmph